,URW NA Equity,VIE FP Equity,VIV FP Equity,ORA FP Equity,EN FP Equity,SOLB BB Equity,AC FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,LG FP Equity,ENGI FP Equity,FR FP Equity,FTI FP Equity,STM FP Equity,SU FP Equity,SW FP Equity,ACA FP Equity,AI FP Equity,AIR FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,SGO FP Equity,LI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,GLE FP Equity,GTO NA Equity,HOLN FP Equity,KER FP Equity,ALO FP Equity,ALU FP Equity,ATO FP Equity,BN FP Equity,TEC FP Equity,TTE FP Equity,UG FP Equity,UL NA Equity,MT NA Equity,NOKIA FP Equity,OR FP Equity,BNP FP Equity,CA FP Equity,CAP FP Equity,CS FP Equity,DG FP Equity,DSY FP Equity,EDF FP Equity,EL FP Equity
2015-01-15,230.3,14.8868,5.9949,14.595,30.86,103.8055,38.2,61.15,99.8,285.8,59.65,18.26,38.0833,,6.583,62.19,82.35,10.525,75.594,46.27,61.67,54.85,77.4181,33.385,38.995,42.445,135.05,19.21,33.985,66.09,,155.0,24.9385,2.835,48.9625,54.75,47.405,41.95,11.06,230.3,18.8967,,146.1,46.085,26.345,60.89,19.49,48.2,10.182,19.1006,96.97
2015-01-16,240.95,15.0459,6.0007,14.71,30.805,104.8394,39.085,62.74,102.05,283.65,59.43,18.445,38.3,,6.662,62.87,83.55,10.73,76.216,46.395,62.94,55.2,79.4968,33.435,39.665,42.31,134.2,19.5,34.11,65.95,,154.4,24.6418,2.776,49.4162,55.62,48.405,43.3,11.3,240.95,19.4992,,146.65,45.99,27.38,60.82,19.905,47.795,10.202,19.2779,97.64
2015-01-19,238.4,15.2243,5.9803,14.69,30.855,106.2021,39.395,62.68,102.75,287.05,59.43,18.63,38.35,,6.682,63.58,84.86,10.72,76.7649,46.65,63.9,56.17,79.2879,33.975,39.16,42.825,134.2,19.78,34.865,65.08,,155.28,24.6511,2.818,49.4238,55.72,47.73,43.055,11.375,238.4,19.3364,,146.75,46.615,27.14,61.25,20.035,48.47,10.312,19.2291,97.68
2015-01-20,238.35,15.2773,6.0283,14.905,30.8,105.5443,39.595,63.99,103.4,285.05,59.06,18.815,38.65,,6.804,64.88,86.09,10.88,77.5699,47.08,63.76,55.74,79.9344,35.0,39.35,43.675,136.5,19.93,36.35,64.9,,155.42,25.4161,2.874,49.4843,56.38,47.165,43.57,11.49,238.35,19.9738,,148.7,47.74,27.49,61.13,20.16,48.18,10.364,19.7877,98.6
2015-01-21,235.2,15.2918,6.0036,14.92,30.9,106.1552,40.86,64.17,103.1,282.95,59.59,18.705,39.3167,,6.896,66.67,86.43,11.05,77.7528,46.82,65.06,55.48,80.1731,36.13,39.6,44.1,137.4,20.1875,36.71,64.87,,160.58,26.4268,2.849,49.507,56.84,49.705,44.45,11.53,235.2,20.2344,,149.8,48.27,28.145,60.81,20.25,48.825,10.318,19.9295,99.36
2015-01-22,241.1,15.6678,6.0515,15.28,31.87,107.33,41.915,65.83,102.25,281.95,60.71,19.28,40.5667,,7.008,67.53,86.99,11.43,79.1066,47.33,67.52,56.69,80.7301,37.975,40.06,45.25,137.85,20.8425,38.075,63.11,,160.02,26.334,2.994,50.1724,57.72,50.97,45.065,12.09,241.1,20.3553,,150.25,49.4,28.045,62.65,20.64,48.73,10.462,20.5058,96.78
2015-01-23,250.05,15.6726,6.146,15.565,32.345,108.7397,43.695,67.42,106.7,292.75,61.74,19.505,41.0,,7.273,68.24,87.9,11.25,80.3873,49.28,68.98,59.44,83.127,38.535,41.295,46.435,141.85,21.185,37.81,62.12,,165.18,26.6261,3.119,50.921,60.0,51.43,45.945,12.335,250.05,19.3178,,155.65,49.0,28.495,63.9,20.695,49.29,10.722,21.0244,99.34
2015-01-26,251.95,15.7112,6.1722,15.83,33.015,110.1965,44.44,67.75,107.65,297.2,61.43,19.68,41.4667,,7.553,68.7,89.58,11.15,81.8508,50.14,68.93,59.27,82.5004,38.315,41.685,46.895,144.65,21.3375,38.1,62.51,,166.16,26.4685,3.109,50.8983,60.16,52.28,46.685,12.595,251.95,19.7202,,158.65,49.33,28.56,65.2,20.76,49.525,10.82,21.1662,99.12
2015-01-27,244.85,15.5617,6.1693,15.83,32.365,110.7134,43.51,67.04,105.9,297.75,60.44,19.465,40.7,,7.358,67.27,89.2,10.985,81.2288,49.07,68.15,59.09,81.4362,37.725,41.265,45.67,145.1,20.8825,37.225,62.63,,165.23,26.5149,3.052,49.8094,60.07,52.68,46.39,12.685,244.85,19.5411,,156.3,48.845,28.295,63.64,20.85,47.775,10.854,21.2771,97.94
2015-01-28,244.1,15.6292,6.1518,15.84,32.07,112.4991,43.8,66.5,106.95,297.6,60.84,19.765,41.4167,,7.147,66.98,90.01,10.785,80.8995,48.955,69.45,59.29,81.5456,38.005,41.67,45.965,145.2,21.1,36.2,63.43,,166.71,26.6539,3.157,50.0363,59.88,52.55,45.565,12.855,244.1,19.6807,,157.0,47.5,27.97,63.5,20.93,46.99,10.914,21.2194,98.34
2015-01-29,251.35,15.8654,6.1504,16.095,31.955,112.922,44.075,66.42,108.15,298.85,60.38,19.995,42.0,,7.392,67.35,89.05,10.76,82.1436,48.275,69.78,59.74,81.8142,38.175,41.945,46.955,144.7,21.5375,36.26,63.95,,167.32,26.7884,3.14,50.2934,60.16,51.54,44.91,12.915,251.35,19.3783,,160.2,47.65,28.295,64.26,21.155,47.345,10.994,21.5962,99.12
2015-01-30,250.1,15.6726,6.1155,15.62,31.655,113.8149,44.325,66.43,106.6,300.45,60.81,19.725,41.8833,,7.4,67.0,88.13,10.565,81.9606,47.2,68.21,59.19,81.5556,37.93,41.81,47.7,143.5,21.6825,35.835,64.42,,166.76,27.0017,3.094,49.5902,59.57,52.15,45.5,12.855,250.1,19.6877,,159.05,46.775,27.845,64.57,20.855,46.84,10.984,21.3613,99.07
2015-02-02,255.4,15.5087,6.1082,15.6,32.025,113.8149,43.9,66.37,107.7,292.4,61.9,19.835,41.6167,,7.392,67.2,87.17,10.65,82.7656,46.87,68.5,58.93,81.6252,37.64,42.045,47.53,143.3,22.0575,36.0,63.14,,165.6,26.9414,3.054,49.3028,59.34,53.61,47.0,12.69,255.4,19.8668,,157.7,47.195,28.445,64.19,20.815,47.305,10.818,21.2372,97.56
2015-02-03,259.1,15.8365,6.1431,15.965,32.69,113.3919,44.27,67.07,105.55,288.3,63.28,19.7,41.9167,,7.426,68.7,86.97,10.995,82.7656,47.245,70.16,59.08,81.0682,38.785,42.61,48.685,144.5,22.05,37.655,65.44,,165.27,26.8301,3.093,49.5902,59.32,55.41,48.28,13.08,259.1,20.7043,,155.75,48.405,28.64,64.27,21.095,48.2,10.92,21.3303,97.2
2015-02-04,257.35,15.8895,6.1053,16.03,32.645,113.5329,44.45,68.08,108.05,297.1,63.36,19.605,42.6833,,7.66,68.3,88.05,10.83,83.351,47.635,70.34,59.91,81.1478,38.755,43.18,48.765,156.25,22.0575,37.16,66.16,,168.99,26.8533,3.169,50.5127,59.0,53.82,47.75,13.44,257.35,20.2506,,157.95,48.805,28.4,65.22,21.01,48.325,10.954,21.6095,96.48
2015-02-05,258.6,15.8944,6.0661,15.85,32.0,113.9558,44.9,67.94,107.8,297.5,63.27,19.145,42.6,,7.609,68.33,88.05,10.86,83.3876,48.41,71.12,60.57,84.0718,38.985,43.17,48.275,153.5,22.2725,36.82,65.56,,168.25,26.742,3.164,50.7169,59.12,55.8,48.08,13.36,258.6,20.5973,,158.0,47.005,28.45,65.45,20.72,49.62,11.828,21.4765,96.2
2015-02-06,256.45,15.6967,6.0515,15.97,31.97,113.016,45.23,67.59,105.75,293.35,63.21,19.01,42.4333,,7.677,68.0,87.38,10.975,82.107,48.345,71.15,60.36,84.5393,38.55,42.665,46.94,152.8,22.05,37.22,65.4,,169.97,26.6493,3.275,51.2386,58.89,55.05,47.68,13.305,256.45,20.3321,,157.6,47.17,28.105,65.38,20.86,49.405,11.606,21.4765,95.97
2015-02-09,250.5,15.4653,5.9585,15.6,32.04,113.6739,44.88,66.79,105.8,287.75,63.58,18.685,41.4167,,7.525,67.24,86.66,10.845,82.1436,48.235,68.23,59.18,84.3603,38.25,41.855,46.84,150.6,21.585,36.435,65.4,,167.78,26.2691,3.247,50.18,58.5,56.51,47.95,12.865,250.5,20.9904,,155.95,45.7,28.29,64.96,20.43,50.48,11.534,21.1042,95.1
2015-02-10,254.1,15.6678,6.0021,16.075,32.75,113.3919,44.955,67.25,107.15,293.4,64.79,18.96,42.8,,7.75,67.7,87.68,11.0,83.1315,49.735,69.03,60.53,84.8078,38.815,42.735,47.375,156.15,21.0325,36.55,65.46,,170.48,26.4499,3.3,51.3142,58.67,55.9,47.35,13.29,254.1,20.6694,,157.55,46.17,28.41,65.9,20.855,51.34,11.65,21.4233,95.77
2015-02-11,252.8,15.7112,6.0297,15.97,33.025,113.3449,44.94,67.05,107.6,294.25,63.47,18.775,42.4833,,7.81,68.2,87.7,10.835,83.0583,49.42,69.21,60.3,84.5393,38.34,42.48,47.05,156.55,21.0,36.31,67.05,,170.15,26.0327,3.346,51.0345,58.67,54.86,46.95,13.395,252.8,20.3228,,158.4,46.065,28.145,64.98,20.655,51.15,11.662,21.5785,95.15
2015-02-12,255.15,15.6919,6.0486,16.105,33.545,114.8957,45.635,69.56,103.2,292.75,64.9,18.8,43.8667,,7.959,68.59,87.8,11.335,84.7414,49.775,77.2,60.77,84.4597,39.18,43.195,46.65,159.15,21.07,36.905,69.01,,169.83,26.2274,3.469,51.4957,58.14,55.89,47.35,13.765,255.15,21.2068,,157.9,47.25,28.73,65.69,20.845,51.41,11.612,20.7496,96.2
2015-02-13,256.3,15.8413,6.0225,16.195,33.655,116.5404,45.72,69.94,103.7,294.25,64.34,18.72,43.5667,,7.79,69.46,87.27,11.965,84.8512,49.75,79.35,60.46,86.2599,39.79,44.295,47.01,158.5,21.04,38.4,70.73,,170.01,26.5195,3.428,51.1857,57.92,55.79,47.375,13.83,256.3,22.2699,,156.05,48.41,28.885,65.65,20.84,51.71,11.578,20.9535,96.16
2015-02-16,255.9,15.7738,6.0123,16.345,34.925,116.3524,45.41,70.6,103.3,290.1,64.87,18.6,43.8333,,7.781,69.09,87.31,11.915,84.1194,50.45,80.0,60.81,85.2554,40.27,44.11,46.34,156.95,20.97,38.62,70.66,,168.39,26.6957,3.427,51.9419,57.2,57.27,47.115,13.75,255.9,22.898,,154.5,49.175,28.955,66.14,20.535,52.74,11.678,20.8648,95.4
2015-02-17,256.2,15.7449,6.0515,16.07,35.0,115.3186,45.15,69.62,103.6,287.65,65.0,18.74,43.8333,,7.732,69.15,87.09,11.975,83.4974,50.67,81.02,60.51,85.0664,40.265,44.075,46.95,157.6,20.8775,38.5,70.51,,165.97,26.7791,3.403,50.3993,57.85,57.77,47.28,13.495,256.2,22.5444,,155.4,49.52,28.985,64.63,20.605,52.49,11.596,20.9446,95.07
