,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,PUB FP Equity,RI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,CAP FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,ERF FP Equity,GLE FP Equity,SGO FP Equity,STLAP FP Equity,VIV FP Equity,WLN FP Equity,OR FP Equity,ORA FP Equity
2017-02-07,11.68,75.2817,22.42,65.22,62.88,24.7902,59.24,57.15,61.97,108.9,402.15,13.39,67.26,89.27,205.99,22.34,76.34,15.138,107.85,33.65,11.025,82.61,63.34,75.4886,102.55,46.625,215.9,14.988,53.25,184.45,25.3375,22.08,41.38,43.635,45.275,,4.925,25.935,171.5,14.15
2017-02-08,11.415,75.2442,22.15,68.27,62.77,24.4888,60.65,56.06,63.08,108.45,395.0,13.015,67.05,89.21,204.36,22.535,76.37,15.222,107.65,34.205,11.24,83.6,63.47,76.2346,103.55,46.83,219.5,15.528,53.0,182.35,25.025,22.047,41.285,42.73,45.355,,4.9264,26.035,173.35,14.28
2017-02-09,11.46,76.1458,22.66,68.81,64.0,24.3822,60.45,56.69,62.14,107.05,398.9,12.85,67.34,89.28,208.59,22.585,76.94,15.266,109.2,34.29,11.31,82.79,63.68,79.7554,103.65,47.425,220.1,15.6919,53.05,185.5,25.375,22.554,41.65,43.71,45.365,,4.9933,25.45,174.0,14.45
2017-02-10,11.4,76.3336,22.605,68.76,64.39,24.3312,60.05,55.7,62.46,107.9,400.95,12.72,67.48,89.33,214.08,22.695,77.38,15.282,108.55,34.25,11.17,83.81,63.88,79.7156,103.7,47.925,219.0,15.7063,53.75,185.1,25.375,24.66,41.84,42.385,45.695,,4.9628,25.11,170.1,14.405
2017-02-13,11.58,77.5733,23.005,69.36,65.85,24.563,60.65,56.35,63.62,108.95,404.1,12.915,68.62,89.9,215.66,22.78,78.09,15.362,109.45,34.64,11.31,87.5,64.32,79.9443,104.3,48.075,218.4,15.6678,54.09,189.8,26.0,25.848,41.9,42.765,46.425,,5.0195,25.0,173.7,14.405
2017-02-14,11.755,77.1225,23.095,68.82,66.21,24.6372,60.03,56.78,63.61,107.3,403.25,12.97,68.4,88.85,215.89,22.97,78.62,15.332,110.25,35.065,11.235,90.18,64.2,80.0637,105.6,47.945,219.65,15.663,54.0,190.15,26.4375,25.767,41.685,43.185,46.64,,4.9802,24.97,172.55,14.495
2017-02-15,12.315,79.4891,23.1,69.4,66.32,24.6974,59.94,57.49,63.53,107.75,404.1,13.13,68.87,88.61,213.38,22.91,79.08,15.304,110.0,35.475,11.18,88.85,66.05,80.7599,104.8,47.955,222.1,15.7642,54.88,188.7,26.5875,26.25,41.84,43.745,46.635,,4.9395,25.045,173.8,14.595
2017-02-16,12.145,78.8129,22.87,68.9,65.77,24.4795,59.15,57.02,63.21,108.05,407.25,13.345,66.0,88.05,212.82,22.74,81.49,15.338,108.55,35.41,11.195,88.16,64.9,81.1876,105.6,47.82,223.35,15.5955,55.38,189.7,26.475,25.899,41.835,43.52,45.98,,4.9366,24.92,171.85,14.655
2017-02-17,11.82,78.7378,22.465,68.21,65.4,24.1133,61.0,55.75,63.47,108.2,407.5,13.315,65.06,89.1,209.8,22.6,82.02,15.204,107.75,35.045,11.08,87.08,64.38,81.0483,106.6,47.44,220.65,15.4267,55.23,186.85,26.3375,25.644,41.515,42.4,45.46,,4.9337,25.2,176.1,14.395
2017-02-20,11.605,78.8129,22.355,68.53,66.53,24.2106,60.95,55.63,62.97,107.95,406.55,13.585,65.15,90.15,211.57,22.305,82.6,15.246,107.85,34.75,11.09,86.44,65.24,80.1134,106.45,47.575,220.65,15.4364,55.21,188.1,26.3375,26.049,41.77,41.805,45.8,,4.8944,25.435,172.65,14.35
2017-02-21,11.575,78.55,22.495,68.31,67.24,24.4378,60.89,55.79,63.52,108.3,408.1,13.755,66.02,89.8,212.31,22.305,81.96,15.35,107.5,34.7,11.24,86.86,65.17,80.0935,105.9,48.4,218.2,15.446,55.33,190.0,26.7375,26.295,41.77,41.79,45.925,,4.9264,25.505,173.45,14.455
2017-02-22,11.62,77.4981,22.825,68.49,66.7,24.1457,62.33,55.8,63.07,108.4,412.2,14.165,65.48,89.22,214.77,22.37,81.76,15.39,108.2,34.6,11.3,86.45,64.73,79.8349,105.3,48.305,216.65,15.5858,54.56,192.5,26.8875,25.821,41.965,41.845,45.445,,4.9482,26.545,176.5,14.54
2017-02-23,11.39,77.1225,22.6,68.17,69.05,23.9232,62.79,55.62,62.92,109.0,414.9,14.27,64.79,88.99,214.21,22.385,80.91,15.384,107.85,36.015,11.265,85.41,65.99,79.6957,105.35,48.29,218.05,14.6843,54.13,192.2,26.9375,25.248,41.665,41.945,45.27,,4.9395,27.425,176.9,14.61
2017-02-24,11.215,76.7468,22.195,67.49,68.35,23.5059,62.65,54.68,62.93,107.95,414.05,14.16,64.03,89.11,213.47,22.16,80.95,15.292,108.75,35.7,11.225,83.91,65.5,80.1433,103.75,47.735,216.85,14.5831,53.36,190.7,26.6375,24.885,41.1,41.43,44.37,,4.7447,26.975,175.55,14.42
2017-02-27,11.29,76.9722,22.07,67.44,68.35,23.5337,62.71,54.74,63.22,108.4,412.8,14.49,64.16,89.72,214.73,22.215,80.86,15.33,108.25,35.925,11.505,83.85,65.77,79.9941,104.75,47.24,215.15,14.882,53.42,189.85,26.525,25.239,41.235,41.535,45.08,,4.8014,27.285,175.3,14.265
2017-02-28,11.395,76.559,22.27,68.01,69.32,23.7609,62.56,55.13,63.63,107.9,411.9,14.4,63.89,93.0,213.56,22.54,80.69,15.246,108.15,36.37,11.54,83.71,67.16,80.8892,104.5,47.05,215.35,14.8964,53.22,189.45,26.5125,24.93,40.33,41.91,45.23,,4.8421,27.255,175.55,14.265
2017-03-01,11.81,77.7986,23.04,69.73,71.12,23.7795,62.86,57.59,64.59,109.0,418.15,14.67,65.27,92.0,217.98,22.8,82.24,15.406,109.5,37.1,11.645,86.4,67.93,82.3711,103.3,47.75,217.35,15.2146,54.23,195.3,26.825,26.22,40.92,43.97,46.1,,4.8639,27.0,176.6,14.4
2017-03-02,11.86,77.1976,23.2,69.92,71.7,23.5894,62.73,57.67,64.21,108.8,419.8,14.715,65.12,91.72,215.66,22.81,83.37,15.356,108.5,36.98,12.605,85.88,68.77,82.1921,102.95,47.795,215.85,15.6099,53.61,194.1,26.75,25.668,40.9,44.115,45.595,,4.8494,27.15,176.05,14.37
2017-03-03,12.195,77.2352,23.605,70.0,71.17,23.7006,62.53,59.31,63.09,108.4,418.1,14.73,65.3,91.72,216.21,22.835,84.02,15.254,108.9,37.255,12.795,87.32,68.6,83.1369,100.5,48.075,217.45,15.6774,53.32,194.35,26.625,25.227,40.9,46.13,46.17,,4.8101,27.255,176.45,14.375
2017-03-06,12.095,77.2352,23.57,69.99,71.05,23.696,62.5,58.7,62.4,108.45,418.6,14.44,65.18,91.63,217.28,22.91,83.23,15.282,108.4,37.165,12.75,86.14,69.0,82.0031,98.6,48.03,217.1,15.6871,53.24,193.75,26.5125,24.765,40.65,45.205,45.52,,4.8159,27.1,176.3,14.4
2017-03-07,12.065,76.7092,23.58,70.06,70.19,23.8073,61.87,58.84,62.5,107.55,418.7,14.575,65.27,91.31,216.45,22.795,83.61,15.338,108.0,36.925,12.665,86.43,68.8,81.3566,97.87,47.705,214.6,15.446,53.0,193.75,26.675,24.492,40.525,45.15,45.75,,4.8654,27.12,175.5,14.345
2017-03-08,12.065,76.8219,23.725,70.32,70.47,23.9139,61.83,59.35,62.69,107.7,423.3,14.775,65.22,91.65,217.28,22.715,83.65,15.298,109.25,37.185,12.595,85.65,69.3,81.7047,97.48,47.165,215.5,15.4171,53.1,194.8,26.6625,24.414,40.43,45.805,45.82,,4.8915,27.15,175.1,14.385
2017-03-09,12.395,76.8595,24.01,70.74,70.06,23.7609,62.45,60.79,62.94,108.1,423.05,14.395,64.51,89.72,220.16,21.8,83.21,15.362,111.8,37.525,12.72,85.33,69.14,81.8738,99.83,46.79,217.4,15.5714,52.98,195.65,26.2625,24.105,40.565,46.755,46.22,,5.0427,27.2,176.4,14.635
2017-03-10,12.645,76.8595,23.92,70.34,70.06,23.5847,62.84,61.86,62.31,108.0,429.05,14.19,65.26,88.93,218.82,21.565,82.85,15.284,111.85,37.915,12.56,84.67,69.05,81.7943,99.0,47.265,213.25,15.4798,52.92,196.4,26.5375,23.664,40.635,47.75,46.125,,5.0369,27.155,177.35,14.765
2017-03-13,12.515,77.7235,23.93,69.91,69.95,23.6218,62.98,61.18,61.98,108.5,429.15,14.235,65.12,88.59,222.16,21.845,82.4,15.362,111.45,38.2,12.625,86.2,68.72,81.5953,99.36,47.1,213.9,15.5858,53.18,198.25,26.875,24.78,40.49,47.65,46.23,,5.0136,27.065,176.45,14.695
2017-03-14,12.335,77.7986,23.73,69.77,70.2,23.6218,62.66,59.85,62.64,108.8,429.85,14.29,65.16,88.84,221.98,21.75,83.1,15.268,110.8,38.06,12.455,85.33,68.4,81.7644,99.69,46.3,213.3,15.4316,53.37,198.35,26.8625,24.678,40.495,46.945,45.87,,4.9686,26.81,177.55,14.595
2017-03-15,12.37,78.1367,23.83,69.45,70.43,24.4332,62.62,60.09,62.07,108.35,430.4,14.435,66.06,88.55,222.12,21.7,83.19,15.34,110.35,38.15,12.505,82.2,67.84,81.8738,99.76,46.98,212.9,15.5039,53.53,197.8,26.8375,24.99,40.405,46.96,46.365,,4.9526,26.755,177.3,14.52
2017-03-16,12.35,78.6627,23.925,70.37,70.36,24.6372,62.79,60.69,62.1,108.65,434.7,14.445,66.44,89.38,225.69,21.59,84.36,15.418,110.5,38.26,12.5,79.45,67.8,82.57,99.51,47.13,218.3,15.5858,53.87,198.75,26.9875,25.605,40.525,47.12,46.795,,4.9366,26.85,177.75,14.73
2017-03-17,12.305,79.2637,23.865,71.7,70.01,24.6233,63.21,60.28,63.0,110.0,436.05,14.525,67.2,89.25,223.23,21.82,84.32,15.476,112.45,38.41,12.48,78.65,68.11,82.1623,100.05,47.36,220.15,15.6196,54.15,201.5,27.125,25.554,40.69,47.11,46.745,,4.9802,27.485,177.45,14.855
2017-03-20,12.245,79.3764,23.84,71.69,70.6,24.6928,64.0,59.65,62.77,110.05,433.25,14.335,67.67,89.55,220.07,21.79,84.72,15.546,112.55,38.425,12.48,79.73,68.2,82.2915,98.97,46.05,218.7,15.7401,54.16,200.0,27.25,25.377,40.645,46.725,46.63,,4.9918,27.42,176.9,14.78
2017-03-21,12.28,79.414,23.925,72.19,69.61,24.5259,63.79,60.26,62.12,110.0,428.45,13.735,67.09,89.4,219.05,21.62,83.34,15.446,112.5,38.01,12.48,79.45,68.15,82.2717,97.63,46.32,219.45,16.1161,54.1,198.7,27.1375,24.567,39.705,47.49,46.22,,4.9366,27.695,177.4,14.695
2017-03-22,12.2,79.6394,23.485,72.19,68.9,24.614,63.97,60.29,61.86,110.65,432.2,13.95,66.4,89.09,218.91,21.59,84.1,15.466,111.75,38.445,12.47,79.5,69.19,82.3214,96.96,46.24,220.0,16.0101,54.03,199.6,27.1875,24.429,40.255,46.765,46.205,,4.9221,28.22,178.3,14.825
2017-03-23,12.355,80.0526,23.64,73.73,69.85,24.614,63.97,61.1,61.7,108.45,432.95,14.18,67.19,89.6,221.7,21.61,83.79,15.718,112.75,38.5,12.55,80.68,69.86,82.8485,98.1,46.5,221.9,16.1691,54.94,201.95,27.675,24.105,40.515,47.475,46.66,,4.9933,28.44,178.5,14.8
2017-03-24,12.28,79.7896,23.55,74.36,70.02,25.0962,63.61,60.46,62.06,108.05,435.3,14.785,67.31,89.9,220.81,21.71,84.66,15.886,113.55,38.45,12.58,80.85,69.6,82.4208,97.17,46.21,222.7,16.1884,55.03,201.1,27.9625,23.961,40.285,47.315,46.64,,4.9904,29.0,177.85,14.65
2017-03-27,12.245,79.9775,23.705,74.35,69.33,25.1657,64.2,60.36,62.53,107.85,437.45,14.405,66.34,89.1,220.12,21.71,84.81,15.8,113.4,38.19,12.6,80.6,69.65,83.0176,98.14,46.125,217.7,16.362,54.83,201.55,27.7625,22.794,40.295,47.13,46.0,,5.0282,28.99,179.5,14.78
2017-03-28,12.71,79.7896,23.875,73.93,70.83,25.124,63.31,61.92,63.0,108.8,436.75,14.455,66.73,90.15,221.74,21.76,84.85,15.954,113.85,38.25,12.725,81.78,69.76,83.485,98.85,46.415,215.2,16.4391,54.92,201.45,27.925,23.256,40.545,47.575,46.67,,5.0616,29.0,178.7,14.685
2017-03-29,12.64,80.4282,24.045,73.75,71.62,25.175,63.31,62.04,63.47,109.55,438.75,14.45,67.6,89.15,222.49,21.945,84.3,15.948,113.0,38.195,13.1,81.54,69.86,84.052,98.76,46.615,216.8,16.4295,55.13,202.6,27.7625,23.406,40.635,47.2,46.63,,5.1387,29.295,179.8,14.6
2017-03-30,12.64,80.2404,24.215,74.16,71.64,25.685,63.55,61.8,64.75,109.8,438.75,14.365,68.38,90.47,224.3,21.99,85.68,16.172,113.0,38.43,13.0,81.51,70.04,83.7834,100.2,47.075,215.0,16.6802,56.06,202.9,28.075,23.937,40.63,47.07,47.625,,5.1256,29.17,179.05,14.625
2017-03-31,12.7,80.4658,24.255,74.3,71.33,25.977,63.76,62.43,65.51,110.9,444.1,14.33,68.63,90.66,225.37,22.1,86.56,16.228,113.9,38.155,13.28,81.43,70.03,84.1614,101.25,47.415,219.1,16.9308,56.52,205.85,28.4625,23.658,40.785,47.55,48.135,,5.2986,29.2,180.15,14.565
2017-04-03,12.49,80.3531,23.925,74.46,71.36,25.8797,63.5,61.22,64.64,111.0,443.85,14.29,68.32,89.41,225.65,22.055,85.89,16.164,112.8,38.4,13.17,81.28,70.69,84.0221,102.4,46.965,217.85,16.7187,56.48,204.05,28.2125,23.319,40.785,46.315,47.68,,5.2157,29.325,179.5,14.55
2017-04-04,12.445,80.3156,23.855,73.8,71.82,25.9817,63.92,60.71,64.98,111.65,445.6,14.215,68.63,90.41,226.76,21.85,85.85,16.232,113.2,38.235,13.145,80.1,70.56,84.8377,102.45,47.75,219.2,16.6127,56.22,206.2,28.3125,23.574,41.175,45.7,47.55,,5.2695,29.395,180.3,14.46
2017-04-05,12.555,80.4658,23.7,73.97,71.57,25.991,63.6,60.1,64.82,111.7,444.45,14.345,68.49,90.3,224.49,21.62,87.41,16.282,111.9,38.23,13.29,78.48,70.82,84.967,103.0,48.0,219.0,16.6464,56.71,204.75,28.1125,23.553,41.14,45.65,47.365,,5.2637,29.755,178.85,14.385
2017-04-06,12.52,81.1044,23.83,74.63,72.52,26.2645,63.75,60.75,64.36,111.8,447.55,14.295,69.16,91.03,229.04,21.64,87.98,16.388,113.1,38.275,13.405,78.41,71.93,84.7482,103.1,48.53,222.8,16.7428,56.96,207.25,28.2125,23.37,41.385,46.13,47.46,,5.2549,29.83,179.35,14.355
2017-04-07,12.57,82.0811,23.68,74.54,72.5,26.385,64.17,60.9,64.59,111.75,453.65,14.675,69.35,91.99,233.5,21.035,88.06,16.41,112.45,38.395,13.45,78.99,72.83,84.1912,103.5,49.0,223.5,16.7718,56.91,209.25,28.2125,23.202,41.4,46.52,47.69,,5.2549,29.825,180.7,14.305
2017-04-10,12.385,81.4425,23.65,73.71,71.09,26.4592,64.08,60.0,64.57,112.4,455.65,14.575,68.98,91.53,231.92,21.13,87.82,16.364,112.4,38.045,13.315,79.2,72.85,84.1514,103.45,48.63,223.1,16.5934,57.01,207.45,27.9125,22.956,41.47,45.86,46.97,,5.2244,29.93,180.9,14.29
2017-04-11,12.24,80.4282,23.63,74.98,71.3,25.7313,64.0,59.39,64.53,112.85,450.65,14.045,68.96,92.12,231.88,21.225,87.22,16.324,113.05,38.05,13.27,78.86,73.07,84.3503,102.55,48.73,224.9,16.4439,56.85,208.6,28.1,22.497,41.48,45.295,47.035,,5.1779,29.465,181.0,14.34
2017-04-12,12.11,80.7288,23.58,73.69,71.93,25.5459,64.24,59.1,65.06,113.8,456.75,13.93,68.74,91.97,231.88,21.26,87.47,16.36,115.75,37.135,13.315,79.26,73.07,84.778,103.8,48.64,224.7,16.5355,56.74,208.85,27.975,21.42,42.1,44.65,46.62,,5.2288,29.4,181.95,14.36
2017-04-13,11.905,80.7663,23.25,73.85,71.33,25.2352,64.27,58.3,64.76,114.3,459.3,13.865,68.38,92.19,233.08,21.19,86.45,16.456,114.85,37.365,13.165,77.99,72.8,84.8675,102.3,48.03,224.1,16.4777,56.59,208.6,27.9875,21.393,42.215,43.505,46.205,,5.2331,29.17,181.05,14.15
2017-04-14,11.905,80.7663,23.25,73.85,71.33,25.2352,64.27,58.3,64.76,114.3,459.3,13.865,68.38,92.19,233.08,21.19,86.45,16.456,114.85,37.365,13.165,77.99,72.8,84.8675,102.3,48.03,224.1,16.4777,56.59,208.6,27.9875,21.393,42.215,43.505,46.205,,5.2331,29.17,181.05,14.15
2017-04-17,11.905,80.7663,23.25,73.85,71.33,25.2352,64.27,58.3,64.76,114.3,459.3,13.865,68.38,92.19,233.08,21.19,86.45,16.456,114.85,37.365,13.165,77.99,72.8,84.8675,102.3,48.03,224.1,16.4777,56.59,208.6,27.9875,21.393,42.215,43.505,46.205,,5.2331,29.17,181.05,14.15
2017-04-18,11.685,80.2029,22.79,72.56,69.53,25.0776,63.86,57.32,63.62,113.15,455.55,13.5,67.54,91.18,231.69,20.3,84.9,16.192,114.05,36.37,12.81,78.04,72.73,82.8286,100.25,47.115,223.8,16.4005,56.22,206.6,27.525,20.07,41.46,43.015,45.39,,5.1328,28.94,180.1,13.965
2017-04-19,11.995,79.6394,22.845,72.22,69.94,25.0452,63.35,58.34,63.89,113.3,453.2,13.625,68.0,91.52,232.62,20.545,87.93,16.22,113.65,36.705,12.805,79.43,72.65,82.2816,100.5,46.855,221.95,16.4439,55.83,204.8,27.85,20.814,41.87,44.255,45.785,,5.0791,29.12,181.4,14.03
2017-04-20,12.285,80.3531,23.29,73.99,72.27,25.1611,63.71,60.65,65.66,114.5,456.65,13.725,70.02,92.06,233.32,20.9,88.49,16.43,114.5,37.35,12.82,80.96,73.66,82.8684,101.0,47.07,220.9,16.5404,57.01,207.4,28.3125,21.234,42.3,45.495,46.715,,5.1939,29.12,181.75,14.05
2017-04-21,12.43,79.4515,23.495,73.33,71.57,25.1286,62.15,62.0,65.0,115.0,457.75,13.65,70.6,92.84,230.02,20.82,87.2,16.472,112.75,37.305,12.785,80.46,73.73,81.9136,100.75,46.48,219.65,17.0224,57.23,206.9,29.025,21.42,41.97,46.285,46.195,,5.1343,28.89,180.8,14.01
2017-04-24,13.78,83.2081,25.03,78.5,73.96,26.4731,63.65,66.66,66.64,116.45,461.55,14.105,74.2,95.08,238.01,21.395,90.91,16.804,117.75,39.0,13.425,83.02,75.84,84.3802,103.7,47.825,227.05,16.8248,59.34,214.7,29.6,22.065,43.01,50.85,49.295,,5.4555,29.64,185.55,14.715
2017-04-25,13.8,83.3584,25.0,77.72,74.1,26.997,63.77,66.95,66.61,115.0,440.75,14.755,73.92,94.37,240.89,21.54,91.4,16.93,118.8,39.175,13.23,83.22,75.77,84.6288,105.2,47.825,229.35,16.8682,59.53,223.15,29.5,22.167,44.0,50.91,49.565,,5.4279,29.43,184.65,14.64
2017-04-26,13.76,84.2975,24.74,77.21,74.09,27.1129,63.56,65.8,67.2,115.45,432.7,14.505,73.45,96.31,264.36,21.485,92.75,15.94,118.85,38.87,13.095,83.64,76.0,85.1858,106.3,47.845,228.1,16.82,59.66,224.85,29.7,22.095,44.795,50.6,49.815,,5.4992,29.515,185.35,14.725
2017-04-27,13.575,83.3959,24.42,77.55,75.0,27.1454,63.9,64.99,66.88,114.75,438.55,14.32,73.14,96.3,264.04,21.535,92.95,16.186,119.25,38.78,13.0,82.56,76.75,85.504,107.05,47.285,226.65,16.8344,59.84,225.9,29.625,21.297,45.43,49.78,49.9,,5.4032,30.305,185.8,14.54
2017-04-28,13.65,83.0954,24.51,78.1,74.23,27.0295,64.18,64.78,66.27,114.85,439.2,14.85,72.5,96.52,264.5,21.625,91.9,16.386,118.95,38.595,12.95,85.61,76.02,86.1406,115.35,47.17,225.45,16.8151,59.43,226.5,29.9875,21.729,45.21,50.21,49.55,,5.2956,30.445,182.85,14.2
2017-05-01,13.65,83.0954,24.51,78.1,74.23,27.0295,64.18,64.78,66.27,114.85,439.2,14.85,72.5,96.52,264.5,21.625,91.9,16.386,118.95,38.595,12.95,85.61,76.02,86.1406,115.35,47.17,225.45,16.8151,59.43,226.5,29.9875,21.729,45.21,50.21,49.55,,5.2956,30.445,182.85,14.2
2017-05-02,13.795,84.4102,24.915,78.05,74.65,27.0341,64.37,65.77,65.42,115.7,444.2,15.11,72.3,97.55,264.92,21.65,93.7,16.506,118.3,39.06,13.18,84.74,77.34,87.1053,117.9,46.845,227.6,16.9742,60.63,228.05,29.9125,21.657,45.665,50.5,50.62,,5.223,30.64,184.45,14.32
2017-05-03,13.95,84.861,25.165,77.07,73.92,26.9646,64.19,66.15,65.16,116.1,447.95,14.845,72.05,97.65,264.64,21.56,92.26,16.6,118.7,37.36,13.325,83.74,76.96,87.0755,114.85,46.765,227.45,16.9019,60.5,230.85,29.625,21.003,45.825,51.4,50.22,,5.2099,30.505,184.55,14.385
2017-05-04,14.13,85.124,25.8,79.33,75.03,27.2149,65.5,66.37,65.22,118.6,453.6,14.795,72.81,98.04,270.03,21.485,93.84,16.72,119.75,38.1,13.86,84.27,77.83,88.9155,117.05,47.045,228.15,17.9384,60.54,234.4,29.925,20.745,46.2,51.72,51.03,,5.3204,30.94,186.75,14.6
2017-05-05,14.48,86.5139,25.0,79.5,75.88,27.6415,65.01,67.88,65.29,119.3,448.95,15.05,74.5,98.76,272.68,21.735,96.22,16.68,120.25,38.54,13.83,85.45,78.13,89.2039,116.8,48.0,229.6,18.1071,61.74,238.1,30.1875,21.615,46.785,51.88,52.28,,5.4497,31.195,188.55,15.0
2017-05-08,14.385,85.2742,24.645,78.99,75.41,27.7157,65.2,66.84,65.04,119.0,443.6,15.04,70.82,98.83,269.52,21.83,96.44,16.69,119.85,38.16,13.815,85.11,77.9,88.8956,116.7,47.81,233.75,17.9625,60.99,233.65,30.3,21.345,46.435,50.57,50.96,,5.4367,31.43,187.9,15.045
2017-05-09,14.24,85.9504,24.51,79.0,75.5,28.2256,66.13,66.66,65.86,120.2,447.35,15.15,71.18,98.48,268.83,21.905,96.03,16.71,121.6,38.46,14.0,85.02,77.71,89.4923,116.45,47.825,235.15,18.0107,61.33,233.65,30.225,21.555,46.29,49.58,51.03,,5.5311,31.675,189.5,15.05
2017-05-10,14.31,85.5748,24.47,78.32,75.24,28.5085,66.23,66.78,66.39,120.35,444.55,15.395,70.58,98.62,270.03,22.03,95.4,16.774,120.8,38.31,14.025,85.75,77.49,90.1985,116.6,48.165,234.85,18.3192,61.02,232.35,30.5625,21.6,46.4,49.73,50.91,,5.4512,32.0,188.95,14.91
2017-05-11,14.18,85.1615,24.275,77.78,74.0,27.6832,66.73,66.41,65.87,120.5,443.9,15.06,70.56,98.19,273.52,22.005,95.47,16.638,119.3,38.125,13.82,88.11,75.82,90.9046,114.9,47.89,236.25,18.1746,61.65,233.3,30.375,21.684,46.115,49.3,50.41,,5.3465,31.38,189.15,14.835
2017-05-12,14.285,85.8753,24.235,78.53,74.46,28.0077,67.12,66.56,67.22,121.4,443.05,15.17,70.1,98.21,270.78,22.75,96.35,16.714,120.15,38.4,13.8,88.27,77.03,92.2473,115.15,47.98,236.8,18.4157,61.67,231.5,30.4875,19.947,46.1,49.695,50.27,,5.5966,31.41,190.05,15.325
2017-05-15,14.4,84.0721,24.4,78.37,74.27,28.0726,67.09,67.07,67.53,120.25,445.4,15.315,70.58,97.82,272.73,22.91,95.2,16.64,120.45,38.73,13.92,88.74,77.0,92.4661,115.3,48.35,237.35,18.5073,61.87,231.2,30.175,20.589,46.345,50.15,50.7,,5.5966,31.1,189.9,15.265
2017-05-16,14.36,83.3959,24.23,77.69,74.19,28.3508,67.55,67.21,67.65,121.75,439.45,15.395,70.61,98.42,271.34,23.315,94.82,16.618,120.95,38.575,13.73,87.73,76.91,90.2581,114.85,48.7,237.2,18.406,62.21,232.1,29.9875,20.574,46.465,50.26,50.92,,5.5689,31.0,189.95,15.44
2017-05-17,14.055,82.3065,23.825,76.95,72.73,27.7064,66.87,65.11,65.57,120.2,432.6,14.7,68.97,96.84,266.46,23.245,92.76,16.532,118.5,38.285,13.48,86.99,75.37,89.0845,114.05,48.45,234.7,18.2662,60.87,228.0,29.7,19.971,46.335,48.87,49.64,,5.4933,30.79,188.15,15.245
2017-05-18,14.18,82.3441,23.565,76.9,73.22,27.7667,65.0,64.36,65.93,118.3,432.9,14.485,68.26,97.15,268.59,22.75,93.19,16.328,118.5,37.545,13.395,86.19,76.35,87.8711,113.6,48.25,230.65,18.2855,61.31,229.0,29.35,19.73,45.89,48.805,50.14,,5.457,30.59,185.6,15.215
2017-05-19,14.315,83.2457,23.79,76.65,73.76,28.6197,65.85,65.67,66.04,119.2,438.2,14.675,68.5,97.86,269.89,22.86,93.7,16.43,118.75,37.64,13.48,86.36,76.36,87.901,114.1,48.4,229.8,18.6471,61.1,229.1,29.7,20.105,46.145,50.02,50.43,,5.5064,30.985,187.1,15.29
2017-05-22,14.37,83.0954,23.815,76.5,72.63,28.2488,66.19,65.46,66.04,119.8,439.15,14.365,68.36,97.8,270.08,22.895,92.32,16.328,119.1,37.655,13.465,86.46,75.95,87.2744,113.4,48.385,232.4,18.8592,61.01,228.25,29.4,20.165,45.885,49.555,50.04,,5.537,30.88,187.5,15.6
2017-05-23,14.625,83.6965,24.03,76.83,72.41,28.6522,66.85,66.18,65.83,120.3,437.55,14.42,69.38,97.93,271.8,22.865,92.09,16.342,119.3,37.86,13.5,85.8,76.17,87.344,115.3,48.2,230.3,19.0809,61.15,227.3,29.3375,20.095,45.9,50.0,50.05,,5.6373,31.105,188.7,15.58
2017-05-24,14.52,83.0579,23.985,76.53,72.42,28.6522,66.65,66.84,66.34,120.3,437.65,14.54,69.31,98.48,272.87,23.245,92.25,16.502,119.2,37.86,13.3,85.67,76.11,87.1252,115.85,48.145,230.55,19.1533,61.31,227.1,28.7375,20.01,46.22,50.25,50.08,,5.566,31.37,188.25,15.7
2017-05-25,14.56,83.2081,23.845,76.89,73.1,28.7681,67.02,66.56,66.29,120.35,439.0,14.735,69.09,98.48,274.68,23.1,92.69,16.548,119.65,37.71,13.22,85.45,78.47,86.8368,115.55,47.73,231.25,19.187,60.91,229.2,28.95,19.615,46.21,50.17,50.05,,5.5936,31.255,188.7,15.69
2017-05-26,14.5,83.3584,23.705,77.0,73.9,29.1668,66.55,66.39,66.97,120.2,440.3,14.715,68.96,99.22,274.03,23.12,92.67,16.46,120.0,37.81,13.24,84.67,79.57,87.2644,116.25,47.435,232.0,19.1388,61.19,227.4,28.85,19.95,46.61,49.345,50.05,,5.6925,31.465,189.1,15.73
2017-05-29,13.905,83.1705,23.885,76.9,73.72,28.9767,66.65,66.35,66.95,119.95,440.0,14.5,68.85,99.11,273.85,23.64,92.98,16.434,119.3,37.51,13.255,84.64,79.59,87.1451,115.8,47.54,231.65,19.2545,60.95,227.0,28.625,19.865,46.705,49.725,50.02,,5.6736,31.2,189.4,15.735
