,CAP FP Equity,DSY FP Equity,PUB FP Equity,RI FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,ACA FP Equity,AI FP Equity,RMS FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,CS FP Equity,DG FP Equity,TEP FP Equity,TTE FP Equity,HO FP Equity,KER FP Equity,CA FP Equity,ERF FP Equity,GLE FP Equity,AIR FP Equity,URW NA Equity,VIE FP Equity,LR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,SGO FP Equity,VIV FP Equity,WLN FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,OR FP Equity,ORA FP Equity
2015-02-02,10501.0319,13866.7328,14677.6269,28585.9064,21062.4755,10763.1688,48303.8762,27438.2949,39005.1243,30868.4961,6732.6137,39280.3441,20256.9769,24575.5527,108304.1383,50835.9877,27937.405,3594.5542,112074.4719,9745.8446,22491.7256,20904.6253,3451.7882,28987.4751,36782.6657,25044.1025,9044.6248,12656.0969,8998.5679,38202.6168,58802.9709,21149.7492,28397.1283,2110.8254,72755.0867,16386.6223,14222.4495,88321.5579,41322.6138
2015-02-03,10514.1193,13997.4785,14832.4308,28015.2499,20984.7541,10986.6663,47975.1128,28327.1411,39005.1243,30435.6615,6763.5808,40157.1375,20747.8759,24638.1071,107565.1312,51519.8251,28465.9745,3730.6943,115126.7129,9794.6309,22447.5376,21047.9335,3502.2838,30320.0937,37078.6886,25406.9184,9235.8074,12963.6456,8961.403,38189.741,60310.5796,21793.1196,28559.3204,2109.5062,73364.3407,16381.0505,14821.9907,87229.4397,42289.457
2015-02-04,10669.5326,14041.0604,15055.7908,28678.8039,20829.3115,10972.5575,47743.7607,27902.0408,39281.0227,31364.6724,6976.7073,39923.326,20801.1059,24984.2416,107670.7036,51312.2316,28539.797,3696.9453,113862.8943,9988.7382,22952.544,20871.5542,3512.0814,29921.516,37384.7673,25235.3163,9266.734,12984.9477,8968.9654,37983.7275,60808.9627,21776.2628,28383.6123,2102.9098,79329.9532,16386.6223,14497.2392,88646.3429,42461.6345
2015-02-05,10707.159,15161.3714,15024.83,28612.4485,20768.8616,10755.7617,46623.5296,27979.3317,39298.2663,31406.9001,6930.2567,39940.8618,21031.7693,25259.4811,111550.4912,50603.9714,29304.5986,3719.2539,114649.8002,9994.9662,22851.5428,20908.2999,3573.1283,29647.7454,37993.0006,25357.8892,9269.5455,12854.4725,8931.8012,38060.9826,58566.2389,21905.4988,28201.1462,2096.9731,77933.746,16546.3468,14745.3826,88674.4044,41984.8351
2015-02-06,10695.7075,14876.8073,14947.428,28068.3342,20719.2063,10745.6782,46294.7662,28275.6138,38694.7387,30968.7871,6992.2457,39747.9673,21040.6409,25171.9049,112170.7294,50945.8901,29177.6238,3683.7889,113695.9749,10155.8572,23085.1082,20654.7546,3552.7794,29969.8284,37941.9875,25149.4566,9154.2736,12498.9941,8900.831,37912.9104,58771.822,21661.0742,28133.5662,2097.6328,77578.3478,16381.0505,14555.5279,88449.9123,42302.7014
2015-02-09,10626.9985,14784.5162,14770.5092,28081.6053,20531.3798,10769.2064,45503.2986,27940.6863,38711.9824,30377.5984,6853.8034,39303.7253,20177.1318,24679.81,111933.1914,49895.7112,29812.4977,3663.7683,114339.807,10173.5034,22788.4169,20790.7136,3501.5301,29337.7404,37855.6576,24565.9539,9019.3212,12472.3665,8773.8532,37661.8315,56940.2642,21492.5055,27701.054,2071.2475,76461.3821,16035.5998,15026.8339,87523.8821,41322.6138
2015-02-10,10780.7758,14933.2074,14872.2376,28439.9245,20676.0278,11007.8499,46173.0019,28340.0229,39177.5608,30974.0655,7058.7344,39572.6086,20413.7097,25242.8,112527.0364,50933.6787,30320.3969,3742.1346,112909.0691,10552.3758,23154.5466,20878.9033,3493.2398,29430.3393,39032.8834,24918.9976,9137.4046,12614.8241,8834.2451,37771.2762,57525.8643,21809.9765,27903.7941,2102.2502,79279.182,15625.1449,14797.0098,88421.8507,42580.8344
2015-02-11,10630.2703,14954.7426,14828.0078,28559.3642,20550.4603,11100.2822,45722.4742,27914.9226,39155.1689,31063.7995,7113.3827,39877.6564,20466.9397,25146.8832,112170.7294,50447.3767,30210.2377,3739.2745,111988.4045,10508.2135,23110.3586,20684.1511,3493.056,29237.1249,38785.666,24791.5096,9162.7081,12536.5621,8695.5715,37771.2762,57395.0388,21543.254,28032.1962,2102.9098,79487.2306,15601.0005,14548.8664,88898.8966,42302.7014
2015-02-12,10746.4213,14890.6252,15383.0906,27391.5092,20777.2389,11275.0633,45783.3563,29203.1055,39948.6217,30905.4454,7249.0926,40105.6958,22829.7608,25342.8871,112065.1569,50911.429,30363.7991,3782.1758,112942.5123,10558.1535,23066.1705,21114.0758,3546.3154,29716.2241,39064.2761,25021.9686,9151.4621,12429.9813,8760.6141,37430.0664,58871.4986,22015.2501,28120.0502,2110.8254,80807.3634,15653.0038,15181.7154,88618.2814,42660.3009
2015-02-13,10739.8776,14847.0254,15467.1271,27524.22,20768.5997,11312.0363,45588.5336,30826.2159,40000.3686,31063.7995,7095.1666,40614.399,23465.5637,25213.6079,114453.7336,50899.2171,30540.9852,3760.4391,113002.144,10483.2435,23091.4208,21227.9874,3484.6867,30920.0109,39044.6557,25134.7465,9238.6189,12525.904,8858.1779,37288.4322,60316.8094,22358.0093,27998.4061,2110.8254,80477.3302,15630.7167,15942.7996,87580.0051,42898.7006
