ts,close
2015-02-05,100.0
2015-02-20,104.92756873447166
2015-03-06,112.40496759029644
2015-03-20,119.63489480673755
2015-04-03,116.08201781754262
2015-04-17,111.41012756484037
2015-05-01,106.17759409152956
2015-05-15,107.71686868470266
2015-05-29,107.71936708289309
2015-06-12,105.13990381453286
2015-06-26,107.29054155095693
2015-07-10,102.07350248281321
2015-07-24,113.47275782429953
2015-08-07,120.01002132988206
2015-08-21,96.94534744584439
2015-09-04,100.55241588910864
2015-09-18,105.10303968924474
2015-10-02,102.89908980397784
2015-10-16,105.86719012441974
2015-10-30,122.92129359518125
2015-11-13,123.88335010275193
2015-11-27,141.66708390607843
2015-12-11,125.80304979109934
2015-12-25,132.9511696127851
2016-01-08,121.05112508910037
2016-01-22,125.84259408115336
2016-02-05,119.99999777080724
2016-02-19,119.10307861577621
2016-03-04,121.57634125197747
2016-03-18,120.1586459051602
2016-04-01,119.84940577688918
2016-04-15,130.68257656877657
2016-04-29,128.7714413588465
2016-05-13,112.33934680893182
2016-05-27,109.80524767419206
2016-06-10,106.79903465349197
2016-06-24,109.32663436355594
2016-07-08,121.87602541262306
2016-07-22,131.24281438627926
2016-08-05,137.18542055405624
2016-08-19,142.0429746078619
2016-09-02,144.97213316345494
2016-09-16,139.78183773405243
2016-09-30,150.12291726219402
2016-10-14,159.3714410310335
2016-10-28,176.52438439011763
2016-11-11,187.79218606384228
2016-11-25,208.34523781515108
2016-12-09,260.1205996173748
2016-12-23,276.73467129911006
2017-01-06,282.9720843111338
2017-01-20,292.9845302600039
2017-02-03,314.1673038503653
2017-02-17,340.55139170980414
2017-03-03,361.3811678082529
2017-03-17,359.12516778142697
2017-03-31,379.84395524496557
2017-04-14,380.87740511442155
2017-04-28,431.70521542637016
2017-05-12,445.0286564707837
2017-05-26,447.78966411391997
2017-06-09,448.87526612298586
2017-06-23,460.78550418839694
2017-07-07,432.3818951373379
2017-07-21,419.3746929956437
2017-08-04,467.13905500047605
2017-08-18,461.399995823145
2017-09-01,453.28081619924234
2017-09-15,473.0552423783168
2017-09-29,500.63239086808517
2017-10-13,504.3745826588608
2017-10-27,543.5448038612984
2017-11-10,515.5542209991595
2017-11-24,528.8865759319217
2017-12-08,509.2910959931633
2017-12-22,517.3922770731259
2018-01-05,513.970086270174
2018-01-19,523.1517252309268
2018-02-02,466.3888743938605
2018-02-16,456.57855370420003
2018-03-02,403.9372099367638
2018-03-16,444.37029834892115
2018-03-30,437.7082047484582
2018-04-13,464.44290602900196
2018-04-27,508.0894580483241
2018-05-11,559.0323575022047
2018-05-25,562.6796470727168
2018-06-08,543.8188046452825
