,PUB FP Equity,RI FP Equity,RMS FP Equity,ACA FP Equity,AI FP Equity,CS FP Equity,DG FP Equity,HO FP Equity,KER FP Equity,AIR FP Equity,ALO FP Equity,BN FP Equity,BNP FP Equity,STM FP Equity,SU FP Equity,RNO FP Equity,SAF FP Equity,SAN FP Equity,DSY FP Equity,EL FP Equity,EN FP Equity,ENGI FP Equity,LR FP Equity,MC FP Equity,ML FP Equity,MT NA Equity,CA FP Equity,CAP FP Equity,TEP FP Equity,TTE FP Equity,URW NA Equity,VIE FP Equity,SGO FP Equity,STLAP FP Equity,ERF FP Equity,GLE FP Equity,OR FP Equity,ORA FP Equity,VIV FP Equity,WLN FP Equity
2015-01-15,61.15,99.8,285.8,10.525,75.594,19.49,48.2,48.065,155.0,46.27,24.9385,54.75,46.085,6.583,62.19,61.67,54.85,77.4181,10.182,96.97,30.86,18.26,42.445,135.05,19.21,18.8967,26.345,60.89,60.6,41.95,230.3,14.8868,33.385,,22.1,33.985,146.1,14.595,5.9949,16.49
2015-01-16,62.74,102.05,283.65,10.73,76.216,19.905,47.795,47.835,154.4,46.395,24.6418,55.62,45.99,6.662,62.87,62.94,55.2,79.4968,10.202,97.64,30.805,18.445,42.31,134.2,19.5,19.4992,27.38,60.82,60.71,43.3,240.95,15.0459,33.435,,22.595,34.11,146.65,14.71,6.0007,16.25
2015-01-19,62.68,102.75,287.05,10.72,76.7649,20.035,48.47,48.05,155.28,46.65,24.6511,55.72,46.615,6.682,63.58,63.9,56.17,79.2879,10.312,97.68,30.855,18.63,42.825,134.2,19.78,19.3364,27.14,61.25,61.96,43.055,238.4,15.2243,33.975,,22.905,34.865,146.75,14.69,5.9803,16.235
2015-01-20,63.99,103.4,285.05,10.88,77.5699,20.16,48.18,48.03,155.42,47.08,25.4161,56.38,47.74,6.804,64.88,63.76,55.74,79.9344,10.364,98.6,30.8,18.815,43.675,136.5,19.93,19.9738,27.49,61.13,61.38,43.57,238.35,15.2773,35.0,,22.735,36.35,148.7,14.905,6.0283,16.225
2015-01-21,64.17,103.1,282.95,11.05,77.7528,20.25,48.825,47.91,160.58,46.82,26.4268,56.84,48.27,6.896,66.67,65.06,55.48,80.1731,10.318,99.36,30.9,18.705,44.1,137.4,20.1875,20.2344,28.145,60.81,61.4,44.45,235.2,15.2918,36.13,,22.655,36.71,149.8,14.92,6.0036,16.295
2015-01-22,65.83,102.25,281.95,11.43,79.1066,20.64,48.73,49.545,160.02,47.33,26.334,57.72,49.4,7.008,67.53,67.52,56.69,80.7301,10.462,96.78,31.87,19.28,45.25,137.85,20.8425,20.3553,28.045,62.65,62.14,45.065,241.1,15.6678,37.975,,22.695,38.075,150.25,15.28,6.0515,16.295
2015-01-23,67.42,106.7,292.75,11.25,80.3873,20.695,49.29,47.615,165.18,49.28,26.6261,60.0,49.0,7.273,68.24,68.98,59.44,83.127,10.722,99.34,32.345,19.505,46.435,141.85,21.185,19.3178,28.495,63.9,63.0,45.945,250.05,15.6726,38.535,,23.11,37.81,155.65,15.565,6.146,16.2
2015-01-26,67.75,107.65,297.2,11.15,81.8508,20.76,49.525,48.095,166.16,50.14,26.4685,60.16,49.33,7.553,68.7,68.93,59.27,82.5004,10.82,99.12,33.015,19.68,46.895,144.65,21.3375,19.7202,28.56,65.2,64.35,46.685,251.95,15.7112,38.315,,23.325,38.1,158.65,15.83,6.1722,16.1
2015-01-27,67.04,105.9,297.75,10.985,81.2288,20.85,47.775,47.91,165.23,49.07,26.5149,60.07,48.845,7.358,67.27,68.15,59.09,81.4362,10.854,97.94,32.365,19.465,45.67,145.1,20.8825,19.5411,28.295,63.64,64.21,46.39,244.85,15.5617,37.725,,22.625,37.225,156.3,15.83,6.1693,16.2
2015-01-28,66.5,106.95,297.6,10.785,80.8995,20.93,46.99,48.32,166.71,48.955,26.6539,59.88,47.5,7.147,66.98,69.45,59.29,81.5456,10.914,98.34,32.07,19.765,45.965,145.2,21.1,19.6807,27.97,63.5,64.25,45.565,244.1,15.6292,38.005,,23.26,36.2,157.0,15.84,6.1518,16.08
2015-01-29,66.42,108.15,298.85,10.76,82.1436,21.155,47.345,47.53,167.32,48.275,26.7884,60.16,47.65,7.392,67.35,69.78,59.74,81.8142,10.994,99.12,31.955,19.995,46.955,144.7,21.5375,19.3783,28.295,64.26,64.21,44.91,251.35,15.8654,38.175,,22.955,36.26,160.2,16.095,6.1504,16.2
2015-01-30,66.43,106.6,300.45,10.565,81.9606,20.855,46.84,46.8,166.76,47.2,27.0017,59.57,46.775,7.4,67.0,68.21,59.19,81.5556,10.984,99.07,31.655,19.725,47.7,143.5,21.6825,19.6877,27.845,64.57,63.59,45.5,250.1,15.6726,37.93,,22.85,35.835,159.05,15.62,6.1155,16.0
2015-02-02,66.37,107.7,292.4,10.65,82.7656,20.815,47.305,46.945,165.6,46.87,26.9414,59.34,47.195,7.392,67.2,68.5,58.93,81.6252,10.818,97.56,32.025,19.835,47.53,143.3,22.0575,19.8668,28.445,64.19,62.84,47.0,255.4,15.5087,37.64,,22.9,36.0,157.7,15.6,6.1082,16.0
2015-02-03,67.07,105.55,288.3,10.995,82.7656,21.095,48.2,47.18,165.27,47.245,26.8301,59.32,48.405,7.426,68.7,70.16,59.08,81.0682,10.92,97.2,32.69,19.7,48.685,144.5,22.05,20.7043,28.64,64.27,65.22,48.28,259.1,15.8365,38.785,,23.235,37.655,155.75,15.965,6.1431,15.99
2015-02-04,68.08,108.05,297.1,10.83,83.351,21.01,48.325,48.115,168.99,47.635,26.8533,59.0,48.805,7.66,68.3,70.34,59.91,81.1478,10.954,96.48,32.645,19.605,48.765,156.25,22.0575,20.2506,28.4,65.22,64.63,47.75,257.35,15.8895,38.755,,23.3,37.16,157.95,16.03,6.1053,15.94
2015-02-05,67.94,107.8,297.5,10.86,83.3876,20.72,49.62,48.145,168.25,48.41,26.742,59.12,47.005,7.609,68.33,71.12,60.57,84.0718,11.828,96.2,32.0,19.145,48.275,153.5,22.2725,20.5973,28.45,65.45,65.02,48.08,258.6,15.8944,38.985,,23.705,36.82,158.0,15.85,6.0661,15.895
2015-02-06,67.59,105.75,293.35,10.975,82.107,20.86,49.405,48.92,169.97,48.345,26.6493,58.89,47.17,7.677,68.0,71.15,60.36,84.5393,11.606,95.97,31.97,19.01,46.94,152.8,22.05,20.3321,28.105,65.38,64.4,47.68,256.45,15.6967,38.55,,23.57,37.22,157.6,15.97,6.0515,15.9
2015-02-09,66.79,105.8,287.75,10.845,82.1436,20.43,50.48,49.005,167.78,48.235,26.2691,58.5,45.7,7.525,67.24,68.23,59.18,84.3603,11.534,95.1,32.04,18.685,46.84,150.6,21.585,20.9904,28.29,64.96,64.05,47.95,250.5,15.4653,38.25,,23.23,36.435,155.95,15.6,5.9585,15.7
2015-02-10,67.25,107.15,293.4,11.0,83.1315,20.855,51.34,50.83,170.48,49.735,26.4499,58.67,46.17,7.75,67.7,69.03,60.53,84.8078,11.65,95.77,32.75,18.96,47.375,156.15,21.0325,20.6694,28.41,65.9,65.42,47.35,254.1,15.6678,38.815,,23.175,36.55,157.55,16.075,6.0021,15.935
2015-02-11,67.05,107.6,294.25,10.835,83.0583,20.655,51.15,50.5,170.15,49.42,26.0327,58.67,46.065,7.81,68.2,69.21,60.3,84.5393,11.662,95.15,33.025,18.775,47.05,156.55,21.0,20.3228,28.145,64.98,65.37,46.95,252.8,15.7112,38.34,,22.955,36.31,158.4,15.97,6.0297,15.94
2015-02-12,69.56,103.2,292.75,11.335,84.7414,20.845,51.41,50.74,169.83,49.775,26.2274,58.14,47.25,7.959,68.59,77.2,60.77,84.4597,11.612,96.2,33.545,18.8,46.65,159.15,21.07,21.2068,28.73,65.69,66.12,47.35,255.15,15.6919,39.18,,23.305,36.905,157.9,16.105,6.0486,16.0
2015-02-13,69.94,103.7,294.25,11.965,84.8512,20.84,51.71,50.38,170.01,49.75,26.5195,57.92,48.41,7.79,69.46,79.35,60.46,86.2599,11.578,96.16,33.655,18.72,47.01,158.5,21.04,22.2699,28.885,65.65,65.74,47.375,256.3,15.8413,39.79,,22.9,38.4,156.05,16.195,6.0225,16.0
2015-02-16,70.6,103.3,290.1,11.915,84.1194,20.535,52.74,50.23,168.39,50.45,26.6957,57.2,49.175,7.781,69.09,80.0,60.81,85.2554,11.678,95.4,34.925,18.6,46.34,156.95,20.97,22.898,28.955,66.14,65.48,47.115,255.9,15.7738,40.27,,23.09,38.62,154.5,16.345,6.0123,15.91
2015-02-17,69.62,103.6,287.65,11.975,83.4974,20.605,52.49,50.31,165.97,50.67,26.7791,57.85,49.52,7.732,69.15,81.02,60.51,85.0664,11.596,95.07,35.0,18.74,46.95,157.6,20.8775,22.5444,28.985,64.63,65.5,47.28,256.2,15.7449,40.265,,23.0,38.5,155.4,16.07,6.0515,16.0
2015-02-18,71.08,102.35,290.4,12.885,84.0828,21.005,52.48,51.51,166.16,51.39,26.5612,58.22,50.91,7.804,70.01,83.11,61.2,86.24,11.74,96.33,34.735,18.68,47.885,158.75,21.2375,22.9748,29.14,64.84,65.87,47.265,253.75,15.8028,40.81,,23.055,40.045,155.45,15.435,6.0893,16.075
2015-02-19,71.65,103.9,289.3,12.78,84.5219,21.25,52.68,51.56,166.3,51.99,26.5937,59.15,51.43,7.706,71.42,84.36,61.2,87.3639,12.008,100.5,34.89,18.68,48.155,160.8,21.285,22.5118,29.6,67.99,66.36,45.98,258.85,15.9281,41.26,,23.075,40.18,157.1,15.86,6.1969,16.59
2015-02-20,71.28,103.2,286.35,12.895,84.778,21.15,52.72,51.8,166.95,52.46,26.4592,60.0,51.29,7.82,71.38,85.15,61.63,86.9163,12.06,99.31,35.33,18.59,48.4,161.0,21.3925,22.4164,29.55,68.04,66.2,46.035,255.85,15.9956,41.505,,23.215,40.455,157.6,15.695,6.1489,16.47
2015-02-23,72.03,104.65,285.15,12.77,84.8146,21.295,52.82,52.19,166.48,52.84,26.4499,59.73,51.76,7.86,71.33,85.03,61.69,88.5673,12.304,101.5,35.22,18.805,49.07,161.25,21.5,22.2373,29.445,69.23,66.41,46.29,259.0,16.0486,41.64,,23.315,40.45,158.75,15.9,6.2187,16.5
2015-02-24,72.29,104.4,283.45,12.81,85.2903,21.435,53.16,51.78,167.6,51.85,26.5195,60.49,51.98,7.91,70.94,84.94,60.92,88.269,12.27,102.65,35.46,19.24,48.91,161.2,21.565,22.5467,29.48,70.49,66.58,47.185,260.25,16.4584,41.615,,23.47,40.81,159.3,16.13,6.2681,16.5
2015-02-25,71.85,103.85,284.45,12.54,85.4366,22.0,52.89,51.55,166.44,51.4,26.9043,60.47,51.0,7.903,71.26,82.7,63.03,88.6171,12.396,102.7,35.6,19.29,48.895,161.6,21.135,22.3746,29.24,70.15,66.23,47.35,258.05,16.2366,41.145,,23.445,40.195,159.45,16.18,6.2681,16.54
2015-02-26,72.76,105.95,283.2,12.61,86.022,22.47,53.47,50.53,168.85,51.63,27.1825,61.85,51.61,7.998,71.61,84.29,62.52,87.0655,12.5,103.65,35.735,19.475,49.265,161.95,21.0425,22.7351,29.51,71.7,68.3,47.25,260.45,16.3716,40.3,,23.94,40.97,161.2,16.45,6.3306,16.7
2015-02-27,72.87,105.95,288.35,12.57,86.4245,22.69,53.02,51.41,169.18,55.33,27.4004,62.33,52.09,7.98,71.98,85.85,62.9,87.2247,12.506,104.45,35.43,19.875,49.4,163.9,21.495,22.7282,29.565,72.27,69.03,48.235,257.6,16.7766,40.235,,24.245,41.315,162.25,16.3,6.3423,16.7
2015-03-02,72.9,105.25,287.45,12.745,86.1684,22.465,53.05,50.98,168.76,56.09,27.5905,61.8,52.54,8.195,70.93,85.34,63.76,85.9317,12.494,104.5,35.8,19.44,48.28,164.75,21.31,22.3769,29.65,72.54,68.8,47.19,259.95,16.8103,39.875,,23.525,41.485,162.1,16.26,6.0297,16.68
2015-03-03,72.23,105.2,287.95,12.585,85.4,22.225,52.04,50.32,167.78,55.4,27.1871,61.5,50.91,8.258,70.95,83.09,63.0,85.693,12.39,102.85,35.82,18.99,48.94,162.4,20.8975,22.3909,29.31,72.68,65.82,47.125,256.7,16.3138,39.22,,24.295,40.55,161.1,15.865,6.1155,16.615
2015-03-04,72.32,106.3,292.1,12.785,86.2416,22.53,52.74,51.16,169.08,56.52,27.0434,61.37,51.92,8.333,71.0,84.94,63.77,86.976,12.24,104.35,36.045,19.0,49.2,165.1,20.885,22.2024,29.66,72.77,66.45,47.435,258.2,16.3909,39.465,,23.915,41.005,163.3,16.05,6.2231,16.52
2015-03-05,73.46,106.4,295.05,12.805,86.9734,22.68,53.65,51.61,169.18,59.21,27.3587,62.4,52.14,8.481,71.83,84.71,65.67,87.3639,12.254,106.8,36.45,19.1,49.57,167.7,20.99,22.5421,30.365,73.23,66.75,47.47,259.45,16.468,39.985,,25.0,41.34,164.75,16.165,6.2841,16.5
2015-03-06,73.92,106.65,297.05,13.05,86.7904,22.79,54.15,52.48,170.25,59.42,27.2752,62.42,52.08,8.514,71.95,85.89,65.63,87.1749,12.362,105.2,36.375,18.895,49.29,168.9,21.1275,22.9329,31.055,73.06,64.81,47.005,253.35,16.4102,40.23,,24.93,41.805,165.6,15.955,6.2681,16.7
2015-03-09,72.67,105.8,295.1,12.95,86.9002,22.835,54.15,52.29,170.2,58.88,27.3726,61.79,51.96,8.497,70.86,86.95,65.84,87.1252,12.206,104.6,35.095,18.8,48.93,167.8,21.3725,23.333,31.07,72.9,65.1,46.685,249.1,16.3957,40.18,,24.955,41.575,165.3,15.04,6.2565,17.22
2015-03-10,72.52,105.25,290.05,12.72,86.022,22.395,53.86,52.19,171.32,58.88,26.946,60.85,51.04,8.632,70.18,86.65,66.08,85.9118,12.184,104.7,35.76,18.44,48.725,166.25,21.1375,22.7189,30.565,72.66,65.0,45.18,248.0,16.3716,39.82,,25.15,40.95,164.8,15.315,6.2798,17.2
2015-03-11,73.99,107.8,297.7,13.09,88.6199,22.82,54.69,53.58,176.75,61.43,27.507,61.97,52.01,8.923,72.35,90.15,67.75,88.7862,12.43,106.65,37.38,18.54,50.07,171.5,21.735,22.8538,30.715,74.61,66.55,45.465,252.75,16.4729,40.7,,25.68,42.15,169.7,15.7,6.3961,17.33
2015-03-12,74.52,106.55,299.95,13.06,88.3272,23.11,54.29,53.42,177.59,62.08,27.813,61.63,51.6,8.625,71.83,89.56,66.8,89.0149,12.476,106.75,36.47,18.23,49.56,170.6,21.7625,22.7165,30.855,74.85,66.4,45.44,251.05,16.6802,40.225,,25.55,42.18,169.05,15.495,6.3234,17.36
2015-03-13,76.26,107.3,300.55,13.1,88.2906,23.405,54.27,53.73,176.47,63.56,27.8223,62.19,51.68,8.787,73.51,89.03,66.57,89.3431,12.5,107.5,37.215,18.23,50.06,171.25,22.6375,22.242,31.135,75.65,67.44,44.645,254.95,16.6802,40.57,,25.74,42.29,171.75,15.41,6.3975,17.4
2015-03-16,76.47,108.7,313.75,13.285,89.5712,23.76,54.91,53.68,181.12,63.86,27.8826,62.66,52.44,9.162,74.46,90.0,68.05,91.571,12.69,108.85,37.305,18.485,50.54,174.7,22.9975,22.3536,31.07,76.42,67.82,44.57,256.0,16.7718,41.15,,25.675,42.79,173.3,15.37,6.3975,17.475
2015-03-17,75.03,108.8,313.2,13.23,89.4981,23.475,54.82,52.88,182.38,60.98,27.1547,62.24,52.28,9.222,73.69,86.87,66.6,91.7401,12.594,107.2,36.845,18.69,50.29,172.7,22.9,22.1094,31.11,75.62,66.65,45.21,252.5,16.6994,41.0,,25.305,42.445,172.5,15.02,6.351,17.46
2015-03-18,74.81,109.2,312.3,13.075,89.5346,23.325,54.53,52.62,183.12,61.19,27.0156,62.88,52.25,9.142,73.61,83.08,66.2,92.5556,12.646,107.4,37.145,18.85,49.29,170.75,22.765,21.893,31.18,75.44,64.93,46.0,255.2,16.7669,41.175,,25.23,42.01,170.95,14.805,6.4091,17.495
2015-03-19,74.75,109.15,311.85,13.23,88.9126,23.325,54.4,52.75,180.56,61.08,27.2984,62.63,52.96,9.026,72.95,83.6,66.18,92.476,12.668,107.05,36.765,18.83,49.685,168.3,22.8475,21.5859,31.42,76.37,65.41,46.475,255.5,16.8151,40.845,,25.715,42.57,170.25,14.815,6.4208,17.45
2015-03-20,74.68,109.15,312.4,13.415,89.1322,23.825,55.47,53.26,179.68,61.4,27.3262,62.75,53.98,9.198,74.18,83.88,65.54,93.1225,12.712,108.35,36.9,19.0,50.45,169.25,22.8125,21.7581,31.885,76.02,65.1,47.635,257.4,16.8826,41.56,,25.07,43.155,172.1,14.89,6.4411,17.5
2015-03-23,74.22,108.55,307.0,13.515,88.4004,23.425,54.95,52.51,176.38,60.0,27.2381,62.66,54.54,9.008,73.5,81.91,65.14,92.9932,12.706,107.6,37.055,18.895,49.71,164.5,22.3875,21.5604,31.885,76.25,65.54,46.95,257.2,16.9405,40.555,,25.215,43.735,171.15,14.78,6.6563,17.5
2015-03-24,74.42,107.85,311.2,13.74,89.1322,23.67,55.29,52.49,174.8,60.31,27.2891,62.98,55.8,8.994,73.53,83.07,65.39,93.5303,12.698,108.15,37.345,18.97,50.36,166.45,22.77,21.6115,31.56,76.77,66.01,46.885,255.7,16.9501,41.515,,25.05,44.83,171.4,15.17,6.7013,17.23
2015-03-25,72.81,106.55,312.2,13.67,88.1077,23.555,54.37,51.69,171.97,58.89,27.0898,62.16,54.85,8.6,71.9,81.53,64.38,91.6406,12.4,105.3,36.945,18.87,49.26,163.6,22.7,21.9744,30.985,73.99,65.19,46.505,253.0,17.061,40.96,,24.815,44.835,168.95,15.175,6.7115,17.4
2015-03-26,70.81,107.9,312.1,13.46,87.632,23.25,54.09,51.53,171.97,60.14,26.9228,62.23,55.12,8.278,71.71,83.85,64.26,90.8847,12.4,104.6,36.885,18.645,49.44,162.35,22.96,21.4115,30.99,75.11,63.13,46.59,249.5,16.9067,40.565,,24.425,44.29,169.0,14.935,6.6752,17.15
2015-03-27,71.02,110.45,316.5,13.61,87.9247,23.53,54.24,51.91,171.22,60.41,26.8487,62.92,56.19,8.424,72.13,83.69,64.15,91.193,12.466,106.3,36.62,18.77,49.995,162.25,22.935,20.4926,31.22,76.63,62.2,46.595,253.05,17.4226,40.95,,24.5,44.655,172.15,15.045,6.5981,17.0
2015-03-30,72.31,111.15,314.85,13.895,88.8394,23.75,54.14,51.91,171.83,61.19,26.9924,62.69,57.26,8.731,72.34,86.08,64.96,92.1976,12.662,107.35,36.565,18.705,50.7,164.5,23.29,20.6112,31.295,78.12,63.77,47.0,256.2,17.331,40.965,,25.025,45.63,172.55,15.14,6.7159,17.075
2015-03-31,71.83,110.15,328.4,13.675,87.6686,23.455,53.23,51.7,168.99,60.44,26.64,62.62,56.57,8.696,72.35,84.77,65.0,91.4317,12.628,106.8,36.54,18.405,50.34,164.15,23.1525,20.4135,31.09,76.37,63.81,46.275,251.05,16.9839,40.895,,25.075,44.97,171.35,14.965,6.7231,16.895
2015-04-01,71.48,110.2,331.45,14.1,87.9613,23.8,54.13,52.32,168.02,60.91,26.8487,62.84,57.03,8.576,73.11,83.37,65.65,92.4263,12.344,107.25,36.535,18.54,51.34,163.3,23.185,20.1529,31.18,76.75,65.11,46.37,250.75,17.0032,41.505,,25.065,45.655,171.3,14.965,6.8322,17.15
2015-04-02,72.26,111.25,333.75,14.105,87.6686,23.915,54.26,52.32,162.86,60.76,26.6818,63.4,57.24,8.612,73.89,84.66,65.95,93.222,12.338,108.9,37.075,18.505,51.54,163.55,23.31,20.1576,31.19,76.9,65.65,45.845,249.1,16.9887,41.805,,25.585,45.92,172.7,15.085,6.7537,17.2
2015-04-03,72.26,111.25,333.75,14.105,87.6686,23.915,54.26,52.32,162.86,60.76,26.6818,63.4,57.24,8.612,73.89,84.66,65.95,93.222,12.338,108.9,37.075,18.505,51.54,163.55,23.31,20.1576,31.19,76.9,65.65,45.845,249.1,16.9887,41.805,,25.585,45.92,172.7,15.085,6.7537,17.2
2015-04-06,72.26,111.25,333.75,14.105,87.6686,23.915,54.26,52.32,162.86,60.76,26.6818,63.4,57.24,8.612,73.89,84.66,65.95,93.222,12.338,108.9,37.075,18.505,51.54,163.55,23.31,20.1576,31.19,76.9,65.65,45.845,249.1,16.9887,41.805,,25.585,45.92,172.7,15.085,6.7537,17.2
2015-04-07,73.25,112.75,337.45,14.125,88.7663,24.17,54.56,53.13,164.16,60.4,26.9507,64.18,57.18,8.621,74.99,85.26,66.21,95.2609,12.57,110.5,37.55,19.4,52.31,165.55,23.23,20.9578,31.59,78.52,65.79,47.595,252.35,17.3165,42.225,,25.66,46.445,175.15,15.33,6.8365,17.2
2015-04-08,73.1,112.45,340.95,14.135,88.1077,24.095,54.51,53.53,163.88,60.04,27.0202,64.3,57.67,8.507,72.62,86.07,66.22,95.0818,12.402,110.15,37.345,19.245,52.25,167.5,23.375,20.7787,31.695,77.84,65.95,47.05,253.35,17.4322,42.525,,25.705,46.49,174.05,15.19,6.8787,17.5
2015-04-09,74.63,113.8,342.3,14.25,89.6078,24.355,55.27,53.97,166.67,61.27,27.2567,64.96,57.93,8.654,73.37,88.3,66.88,96.6334,12.698,111.45,37.53,19.275,52.72,170.8,23.8825,20.7043,32.14,79.2,66.3,47.965,254.55,17.9239,43.06,,26.125,46.565,175.95,15.5,6.9441,17.95
2015-04-10,75.48,113.95,345.35,14.185,89.7176,24.475,55.04,54.66,164.07,61.91,27.5951,64.95,57.25,8.904,73.62,89.44,68.15,98.2148,12.746,113.05,37.765,19.265,52.67,172.4,24.03,20.9997,32.795,79.5,67.41,48.52,256.8,18.1505,42.02,,26.755,46.185,178.95,15.45,7.0168,17.95
2015-04-13,74.84,113.4,341.5,14.15,89.4615,24.415,56.56,54.95,163.41,62.79,27.7667,65.11,57.62,9.037,73.28,89.32,68.27,98.4435,12.778,113.15,37.875,19.245,52.88,172.55,23.9675,20.6647,32.74,79.62,66.14,48.76,253.7,18.1553,42.335,,26.5,46.625,178.65,15.955,7.0458,17.9
2015-04-14,73.72,113.3,339.7,13.98,89.2053,24.16,56.45,54.38,162.16,61.13,27.5673,64.82,56.8,8.873,72.11,89.13,67.64,97.3893,12.78,112.85,37.74,19.145,52.48,168.25,23.625,21.3533,32.56,79.56,65.24,48.73,255.05,18.0204,41.7,,26.295,45.73,177.6,15.87,6.963,17.89
2015-04-15,73.9,115.0,338.65,14.215,89.681,24.27,56.67,54.4,162.44,62.73,27.762,66.31,57.14,8.833,72.48,89.59,68.24,97.7274,12.678,112.75,38.075,19.365,52.77,171.2,24.105,21.9675,32.58,78.82,65.72,49.74,254.25,18.3192,41.75,,26.33,46.045,178.1,15.825,6.9339,18.92
2015-04-16,73.55,114.75,339.25,13.79,88.9126,23.995,56.7,53.87,163.55,63.97,27.1129,66.8,56.33,8.835,70.97,92.22,67.89,96.4942,12.56,112.1,37.74,19.47,51.91,169.05,24.1725,21.3975,32.38,79.3,67.1,49.31,252.55,18.3144,41.225,,26.56,45.6,178.75,15.835,6.8976,19.0
2015-04-17,72.81,112.5,335.1,13.4,87.7052,23.435,55.8,53.73,163.0,62.18,26.8997,66.08,55.11,8.509,69.62,90.41,67.21,95.1316,12.47,109.25,37.0,19.315,50.88,165.45,23.9675,20.7275,32.015,77.09,62.26,48.87,249.9,18.3096,40.61,,25.9,44.83,176.3,15.405,6.8118,19.18
2015-04-20,72.34,112.8,340.1,13.565,88.5467,23.77,56.27,54.48,164.39,63.11,26.7189,66.09,56.07,8.64,70.18,90.74,67.56,95.6388,12.746,111.25,37.495,19.385,51.49,165.0,24.115,20.8694,32.2,78.29,65.89,49.38,253.65,18.3964,41.225,,26.17,45.93,177.2,15.535,6.899,19.25
